,제목,가수,가사
0,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),"['잘 지냈지? 조금은 어색해 요즘 좋아 보여 인사 나누며', '사실 궁금한 게 너무 많았는데 반가움에 멍해졌죠', '', '생각보다 오래 된 것 같은 우리 수다스럽던 그때가 생각나', '뭐가 그렇게도 할 말이 많아서 밤을 지새우곤 했죠', '', '그리운 목소리 그리던 얼굴 참 많이도 기다렸어', '', '다시 만나자는 너의 한마디에 울컥 눈물이 나', '결국 너였단 걸', '', '알아', '기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼', '', '서로를 알아보고 그렇게 눈앞에 서있죠', '', '우리 사랑했던 우리 다시 만나 그때 그 순간 그대로', '사랑했고 사랑할 거니까', '', '같이 듣던 노래 그때 그 거리를 이제 혼자 아닌 너와 둘이 걸어', '', '다시 오른쪽에 나란히 발맞춰 같은 노래를 부르죠', '', '그리운 만남을 그리던 날들 참 많이도 기다렸어', '', '다시 너를 만나 더욱 더 소중해 같은 마음이란 걸', '', '알아', '기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼', '', '서로를 알아보고 그렇게 눈앞에 서있죠', '', '우리 사랑했던 우리 다시 만나 그때 그 순간 그대로', '', '사랑했고 사랑할 거니까', '', '처음 느낌 그대로 설렘이 가득한 날', '', '고마워 다시 돌아와줘서', '', '그때 그 순간처럼 날', '', '안아줘', '', '결국 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼', '', '서로를 알아보고 그렇게 눈앞에 서있죠', '', '우리 사랑했던 우리 다시 만나 그때 그 순간 그대로', '', '사랑했고 사랑할 거니까']"
1,나의 X에게,경서,"['우리 다시 만날래', '예쁘게 빛나던', '모든 추억들이', '너무 그리워', '너의 품에 안길래', '이 밤이 새도록', '네게 말할 거야', '너를 좋아한다고', '안녕 그대야', '요즘 어떻게 지내', '가로수길 걷다가', '생각이 나서', '행복해 보이는 사람들 속에', '우리 둘만 없어서', '어색했었어', '늘 집에 갈 땐', '항상 뒤돌아보면', '날 보며 웃어주던', '네가 생각났어', '우리 다시 만날래', '예쁘게 빛나던', '모든 추억들이', '너무 그리워', '너의 품에 안길래', '이 밤이 새도록', '네게 말할 거야', '너를 좋아한다고', '토요일마다 가던', '한강공원에', '이어폰 하나씩', '나눠끼고서', '벚꽃엔딩같이 듣고 있으면', '부러울 게 없었어', '너만 있으면', '널 사랑할 때', '내가 너무 그리워', '날 보며 웃어주던', '네가 보고 싶어', '우리 다시 만날래', '예쁘게 빛나던', '모든 추억들이', '너무 그리워', '너의 품에 안길래', '이 밤이 새도록', '네게 말할 거야', '너를 좋아한다고', '같이 별 보러 갈래', '널 다시 만나면', '네 옆에 기대서', '잠들고 싶어', '너의 품에 안길래', '이 밤이 새도록', '내 곁에 있어줘', '내겐 너뿐이라고']"
2,사랑인가 봐,멜로망스,"['너와 함께 하고 싶은 일들을', '상상하는 게', '요즘 내 일상이 되고', '너의 즐거워하는 모습을 보고 있으면', '자연스레 따라 웃고 있는 걸', '너의 행동에 설레어하고 뒤척이다가', '지새운 밤이 많아지는데', '이건 누가 봐도 사랑일 텐데', '종일 함께면 질릴 텐데', '나 돌아서도 온통 너인 건', '아무래도 사랑인가 봐', '점점 너와 하고 싶은 일들 생각하면서', '하룰 보낸 날이 많아지는데', '이건 누가 봐도 사랑일 텐데', '종일 함께면 질릴 텐데', '나 돌아서도 온통 너인 건', '아무래도 사랑인가 봐', '너의 행복해하는 모습을 보고 있으면', '나도 모르게 따라 웃는데', '이 정도면 알아줄 만하잖아', '너도 용기 낼만 하잖아', '나만 이런 게 아니라면', '우리 만나볼 만하잖아', '아무래도 사랑인가 봐']"
3,내가 아니라도,주호,"['사랑이었다 별거 없던 내 하루에', '빛이 돼준 단한 사람', '나보다 나를 더 아껴 주던 너를', '그땐 왜 몰랐을까', '행복이었다 다시는 없을 것 같던', '잠시나마 행복했었다', '다른 사람 곁에 있는 널', '생각해 본 적 없지만', '이젠 너를 보내줘야 할 것 같아', '내가 아니라도', '눈부시게 사랑받았을 너라서', '그 소중한 시간을 나와 함께해 줘서', '고마웠어', '예쁘고 아름다웠던 너의 그날에', '함께했던 그 모든 순간이 행복했어', '내 전부였다 무엇도 바꿀 수 없던', '우리라서 행복했었다', '다른 누구라도', '나보다 더 좋은 사람 만나서', '이젠 나를 잊고 행복하게 살아', '내가 아니라도', '눈부시게 사랑받았을 너라서', '그 소중한 시간을 나와 함께해 줘서', '고마웠어', '예쁘고 아름다웠던 너의 그날에', '함께했던 그 모든 순간이 행복했어', '어두웠던 내 하루에', '빛이 되어주던 그날들을', '어떻게 잊고 살아', '과분했던 너라는 사람을 만나', '누구보다 사랑했었다', '내가 아니었다면', '눈부시게 사랑받았을 너란 걸', '이 세상에 누구보다 더 잘 알아서', '미안했어 너와 함께한 날들이', '더 말할 게 있을까', '행복한 기억만 가져갈게']"
4,취중고백,김민석 (멜로망스),"['뭐하고 있었니 늦었지만', '잠시 나올래', '너의 집 골목에 있는', '놀이터에 앉아 있어', '친구들 만나서 오랜만에', '술을 좀 했는데', '자꾸만 니 얼굴 떠올라', '무작정 달려왔어', '이 맘 모르겠니', '요즘 난 미친 사람처럼', '너만 생각해', '대책없이 네가 점점 좋아져', '아냐 안 취했어 진짜야', '널 정말 사랑해', '눈물이 날만큼 원하고 있어', '정말로 몰랐니', '가끔 전화해 장난치듯', '주말엔 뭐할거냐며', '너의 관심 끌던 나를', '그리고 한번씩 누나 주려 샀는데', '너 그냥 준다고', '생색 낸 선물도 너 때문에 산거야', '이 맘 모르겠니', '요즘 난 미친 사람처럼', '너만 생각해', '대책없이 네가 점점 좋아져', '아냐 안 취했어 진짜야', '널 정말 사랑해', '진심이야 믿어줘', '갑자기 이런 말 놀랐다면 미안해', '부담이 되는게 당연해', '이해해 널', '하지만 내 고백도 이해해 주겠니 oh', '지금 당장 대답하진마', '나와 일주일만 사귀어줄래', '후회없이 잘 해주고 싶은데', '그 후에도 니가 싫다면', '나 그때 포기할게', '귀찮게 안할게 혼자 아플게', '진심이야 너를 사랑하고 있어']"
5,사랑은 늘 도망가,임영웅,"['눈물이 난다 이 길을 걸으면', '그 사람 손길이 자꾸 생각이 난다', '붙잡지 못하고 가슴만 떨었지', '내 아름답던 사람아', '사랑이란 게 참 쓰린 거더라', '잡으려 할수록 더 멀어지더라', '이별이란 게 참 쉬운 거더라', '내 잊지 못할 사람아', '사랑아 왜 도망가', '수줍은 아이처럼', '행여 놓아버릴까 봐', '꼭 움켜쥐지만', '그리움이 쫓아 사랑은 늘 도망가', '잠시 쉬어가면 좋을 텐데', '바람이 분다 옷깃을 세워도', '차가운 이별의 눈물이 차올라', '잊지 못해서 가슴에 사무친', '내 소중했던 사람아', '사랑아 왜 도망가', '수줍은 아이처럼', '행여 놓아버릴까 봐', '꼭 움켜쥐지만', '그리움이 쫓아 사랑은 늘 도망가', '잠시 쉬어가면 좋을 텐데', '기다림도 애태움도 다 버려야 하는데', '무얼 찾아 이 길을 서성일까', '무얼 찾아 여기 있나', '사랑아 왜 도망가', '수줍은 아이처럼', '행여 놓아버릴까 봐', '꼭 움켜쥐지만', '그리움이 쫓아 사랑은 늘 도망가', '잠시 쉬어가면 좋을 텐데', '잠시 쉬어가면 좋을 텐데']"
6,우리들의 블루스,임영웅,"['잊지는 말아요 함께 했던 날들', '눈물이 날 때면', '그대 뒤를 돌아보면 돼요', '아프지 말아요 쓸쓸한 마음에', '힘든 일이 참 많았죠 그대에겐', '내가 곁에 있을게요', '그댈 위해 노래할게요', '잊지 말아요', '그댈 위해 약속할게요', '언젠가 우리 시간 지나면', '알게 되겠죠', '그땐 웃을 수 있죠 나 약속할게요', '그땐 미소 짓겠죠', '작은 행복까지 모두', '외롭고 지칠 때 손잡아 줄게요', '슬픔이 짙어질 때면 위로해 줄', '그 한 사람이 될게요', '그대 부디 울지 말아요', '슬퍼 말아요', '그대에게 빛이 될게요', '언젠가 우리 시간 지나면', '알게 되겠죠', '그땐 웃을 수 있죠 나 약속할게요', '폭풍 속에 혼자 남아 헤매도 오', '길이 되어 지킬게요 그대', '그댈 위해 노래할게요', '잊지 말아요', '그댈 위해 약속할게요', '어두운 길을 밝게 비추는', '그대의 빛이 될게요']"
7,다정히 내 이름을 부르면,경서예지,"['끝없이 별빛이 내리던 밤', '기분 좋은 바람이', '두 빰을 스치고', '새벽 바다 한곳을 보는', '아름다운 너와 나', '그림을 그려갔어', '모래 위 떨린 손끝으로', '날 향해 웃어주는 입술', '끝 모양과 저 달보다', '사랑스러운 두 눈을 가진 네가', '다정히 내 이름을', '부르면 내 마음이', '녹아내려 언제나', '나 하날 위해 준비된', '선물 같아 널 안으면', '잠들지 않는 바다 위를', '너와 함께 걷는 거 같아', '하늘 아래 너와 나', '남은 내 모든 날을 너에게', '다 줘도 안 아까워', '이제서야 내가', '사랑에 눈을 뜬 건 가봐', '경험하지 못했고', '믿기지 않는 일만', '일어나고 있는 거 아니', '5월에 피는 봄꽃 처럼', '내 사랑도 피어나', '부는 바람에 살며시 실어 보내', '다정히 내 이름을', '부르면 내 마음이', '녹아내려 언제나', '나 하날 위해 준비된', '선물 같아 널 안으면', '잠들지 않는 바다 위를', '너와 함께 걷는 거 같아', '하늘 아래 너와 나', '설레는 지금이', '꿈이 아닌 걸 알잖아', '난 더 바랄 게 없어', '먼 훗날 내 생애', '아주 작은 소리로', '귓가에 말할 거야', '내 곁에 머물러줘서', '마음 다해 고맙다고', '어떤 말로도 표현 못 할', '내 인생의 전부였다고', '이 순간 너를 꼭 안고', '고백할게 언제나', '우리 모든 날들과', '별빛 아래 우리 그림자', '제일로 특별하다고', '길고 긴 겨울 끝을 지나', '너의 앞에 서있는 지금', '선명한 목소리로', '널 사랑한다고', '말할게']"
8,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,"['너무 걱정하지는 마', '보란 듯이 살아 볼 거야', '후회는 사치일 뿐이야', '다시 시작해 볼게', '나 어제 또 울었어', '나 어제 또 슬펐어', '왜 이런 바보를 사랑한 거니', '네 마음이 예뻐서', '네 사랑이 고마워', '이젠 네 손을 잡고', '다시 태어날 거야', '바보도 사랑합니다', '보내주신 이 사람', '이제 다시는 울지 않을 겁니다', '나 이제 목숨을 걸고', '세상 아픔에서 지켜낼게요', '이 사람을 사랑합니다', '널 위한다는 그 이유로', '너를 보낼 뻔했어', '나 그렇게 바보야', '넌 내 사랑 바보고', '서로를 많이도 울게 했었지', '네 사랑이 없다면', '널 만날 수 없다면', '아마 나는 평생을 후회하며 살 거야', '바보도 사랑합니다', '보내주신 이 사람', '이제 다시는 울지 않을 겁니다', '나 이제 목숨을 걸고', '세상 아픔에서 지켜낼게요', '이 사람을', '널 위해 노력해 볼게', '널 위해 살아갈게', '나약한 마음 따윈 모두 버릴게', '우리의 사랑을 위해', '너의 손을 잡고 놓지 않을게', '사랑하는 내 사랑 바보야']"
9,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),"['어쩌면 너도 나와 같은 꿈 꿀까', '매일 마주 보며 눈뜨는 하루', '늦은 밤 헤어지긴 너무 아쉬워', '널 많이 사랑하나 봐', '유난히 날씨가 좋은 날', '넌 나를 설레이게 해', '영화 속에서만 보던 일들이', '요즘 내 일상인 듯해', '어쩌면 너도 나와 같은 꿈 꿀까', '매일 마주 보며 눈뜨는 하루', '늦은 밤 헤어지긴 너무 아쉬워', '널 많이 사랑하나 봐', '오늘 너에게 고백하겠어', '취해서 하는 말이 아냐', '참아온 진심인 거야', '하루 종일 아무것도 안 해도', '너랑 있는 게 젤 좋아', '달빛도 하늘 아래 우리를 비추고', '온 세상이 모두 잠든 것 같아', '늦은 밤 헤어지긴 너무 아쉬워', '널 많이 사랑하나 봐', '네가 살아가는 순간에', '그 모든 순간에 내가 있음 해', '고마워 내 인생에 나타나줘서', '이렇게 날 안아줘서', '오늘 너에게 고백하겠어']"
